,hour,x,y,z,flux,temp,refl,0
73,12.0,35.0,31.0,0.0,112.967,317.2858,57.54,ground
74,12.0,36.0,31.0,0.0,115.0913,317.5085,59.2097,ground
75,12.0,37.0,31.0,0.0,117.3702,317.7472,61.2714,ground
76,12.0,38.0,31.0,0.0,118.6332,317.8794,62.4138,ground
77,12.0,39.0,31.0,0.0,119.3952,317.9592,63.3172,ground
78,12.0,40.0,31.0,0.0,120.1769,318.041,63.9712,ground
79,12.0,41.0,31.0,0.0,120.6495,318.0904,64.3782,ground
80,12.0,42.0,31.0,0.0,120.8875,318.1153,64.5893,ground
81,12.0,27.0,32.0,0.0,119.0458,317.9226,64.5022,ground
82,12.0,28.0,32.0,0.0,117.3615,317.7463,64.3081,ground
83,12.0,29.0,32.0,0.0,116.8082,317.6884,63.853,ground
84,12.0,30.0,32.0,0.0,112.5037,317.2372,63.0581,ground
85,12.0,31.0,32.0,0.0,110.7881,317.0572,61.8547,ground
86,12.0,32.0,32.0,0.0,109.204,316.8909,60.1891,ground
87,12.0,33.0,32.0,0.0,100.5396,315.9797,54.8365,ground
88,12.0,34.0,32.0,0.0,76.5058,313.4393,38.2705,ground
89,12.0,35.0,32.0,0.0,80.7205,313.8861,38.1168,ground
90,12.0,36.0,32.0,0.0,85.1745,314.3576,40.3639,ground
91,12.0,37.0,32.0,0.0,90.8396,314.9566,45.8569,ground
92,12.0,38.0,32.0,0.0,93.2089,315.2068,47.6147,ground
93,12.0,39.0,32.0,0.0,118.3589,317.8507,62.7377,ground
94,12.0,40.0,32.0,0.0,119.5095,317.9711,63.6509,ground
95,12.0,41.0,32.0,0.0,120.136,318.0367,64.1984,ground
96,12.0,42.0,32.0,0.0,120.4502,318.0696,64.467,ground
97,12.0,27.0,33.0,0.0,118.9439,317.9119,64.3475,ground
98,12.0,28.0,33.0,0.0,117.2282,317.7323,64.0952,ground
99,12.0,29.0,33.0,0.0,116.5419,317.6605,63.4622,ground
100,12.0,30.0,33.0,0.0,108.6027,316.8277,62.263,ground
101,12.0,31.0,33.0,0.0,105.8219,316.5355,60.1975,ground
102,12.0,32.0,33.0,0.0,99.0748,315.8254,56.1354,ground
103,12.0,37.0,33.0,0.0,59.6684,311.6503,27.2409,ground
104,12.0,38.0,33.0,0.0,67.0721,312.4377,31.8741,ground
105,12.0,39.0,33.0,0.0,117.4419,317.7547,61.8016,ground
106,12.0,40.0,33.0,0.0,119.1085,317.9292,63.1929,ground
107,12.0,41.0,33.0,0.0,119.9345,318.0156,63.9535,ground
108,12.0,42.0,33.0,0.0,120.3348,318.0575,64.3026,ground
109,12.0,27.0,34.0,0.0,118.836,317.9007,64.1975,ground
110,12.0,28.0,34.0,0.0,117.0744,317.7162,63.8777,ground
111,12.0,29.0,34.0,0.0,116.2777,317.6328,63.0714,ground
112,12.0,30.0,34.0,0.0,108.1313,316.7782,61.4961,ground
113,12.0,31.0,34.0,0.0,105.0742,316.4569,58.6296,ground
114,12.0,32.0,34.0,0.0,100.4639,315.9717,53.7403,ground
115,12.0,37.0,34.0,0.0,60.2814,311.7156,24.4673,ground
116,12.0,38.0,34.0,0.0,65.9993,312.3237,30.0774,ground
117,12.0,39.0,34.0,0.0,116.8281,317.6904,60.9265,ground
118,12.0,40.0,34.0,0.0,118.7801,317.8948,62.7503,ground
119,12.0,41.0,34.0,0.0,119.7534,317.9967,63.714,ground
120,12.0,42.0,34.0,0.0,120.2165,318.0451,64.1466,ground
121,12.0,27.0,35.0,0.0,118.8676,317.904,64.1908,ground
122,12.0,28.0,35.0,0.0,117.1264,317.7217,63.8687,ground
123,12.0,29.0,35.0,0.0,116.3869,317.6442,63.0547,ground
124,12.0,30.0,35.0,0.0,108.3815,316.8045,61.4607,ground
125,12.0,31.0,35.0,0.0,105.6907,316.5217,58.5487,ground
126,12.0,32.0,35.0,0.0,101.4413,316.0746,53.6141,ground
127,12.0,37.0,35.0,0.0,61.1505,311.808,24.3137,ground
128,12.0,38.0,35.0,0.0,66.546,312.3818,29.9776,ground
129,12.0,39.0,35.0,0.0,117.373,317.7475,60.8831,ground
130,12.0,40.0,35.0,0.0,118.878,317.9051,62.7303,ground
131,12.0,41.0,35.0,0.0,119.8008,318.0016,63.7036,ground
132,12.0,42.0,35.0,0.0,120.2469,318.0483,64.1395,ground
133,12.0,27.0,36.0,0.0,120.9748,318.1244,64.3291,ground
134,12.0,28.0,36.0,0.0,119.1659,317.9352,64.071,ground
135,12.0,29.0,36.0,0.0,118.6106,317.8771,63.4208,ground
136,12.0,30.0,36.0,0.0,114.273,317.4227,62.1807,ground
137,12.0,31.0,36.0,0.0,111.3228,317.1133,60.0104,ground
138,12.0,32.0,36.0,0.0,103.395,316.2803,55.5843,ground
139,12.0,37.0,36.0,0.0,63.4886,312.0567,26.5638,ground
140,12.0,38.0,36.0,0.0,92.3562,315.1167,45.4232,ground
141,12.0,39.0,36.0,0.0,118.6742,317.8837,61.7008,ground
142,12.0,40.0,36.0,0.0,120.0146,318.024,63.1432,ground
143,12.0,41.0,36.0,0.0,120.7266,318.0985,63.9256,ground
144,12.0,42.0,36.0,0.0,121.0797,318.1354,64.2833,ground
145,12.0,27.0,37.0,0.0,121.2809,318.1564,64.4799,ground
146,12.0,28.0,37.0,0.0,121.106,318.1381,64.2811,ground
147,12.0,29.0,37.0,0.0,120.6919,318.0948,63.8129,ground
148,12.0,30.0,37.0,0.0,119.9409,318.0163,62.9916,ground
149,12.0,31.0,37.0,0.0,118.6692,317.8832,61.751,ground
150,12.0,32.0,37.0,0.0,115.9991,317.6036,60.1475,ground
151,12.0,33.0,37.0,0.0,107.4438,316.706,55.2876,ground
152,12.0,34.0,37.0,0.0,108.5748,316.8248,52.9113,ground
153,12.0,35.0,37.0,0.0,109.571,316.9294,52.8363,ground
154,12.0,36.0,37.0,0.0,111.843,317.1679,54.944,ground
155,12.0,37.0,37.0,0.0,116.7489,317.6821,59.6555,ground
156,12.0,38.0,37.0,0.0,118.3961,317.8546,61.2792,ground
157,12.0,39.0,37.0,0.0,119.6513,317.986,62.6602,ground
158,12.0,40.0,37.0,0.0,120.4913,318.0738,63.6043,ground
159,12.0,41.0,37.0,0.0,120.9941,318.1264,64.1683,ground
160,12.0,42.0,37.0,0.0,121.2441,318.1526,64.4438,ground
161,12.0,27.0,38.0,0.0,121.3654,318.1653,64.599,ground
162,12.0,28.0,38.0,0.0,121.2053,318.1485,64.4393,ground
163,12.0,29.0,38.0,0.0,120.8481,318.1112,64.0912,ground
164,12.0,30.0,38.0,0.0,120.2049,318.0439,63.5045,ground
165,12.0,31.0,38.0,0.0,119.1359,317.9321,62.6834,ground
166,12.0,32.0,38.0,0.0,117.4054,317.7509,61.6531,ground
167,12.0,33.0,38.0,0.0,114.9578,317.4945,59.7524,ground
168,12.0,34.0,38.0,0.0,113.9534,317.3892,58.1177,ground
169,12.0,35.0,38.0,0.0,114.5806,317.455,58.0677,ground
170,12.0,36.0,38.0,0.0,116.3965,317.6452,59.642,ground
171,12.0,37.0,38.0,0.0,118.3363,317.8484,61.4688,ground
172,12.0,38.0,38.0,0.0,119.3807,317.9577,62.4427,ground
173,12.0,39.0,38.0,0.0,120.1951,318.0429,63.3009,ground
174,12.0,40.0,38.0,0.0,120.7893,318.105,63.9495,ground
175,12.0,41.0,38.0,0.0,121.1575,318.1435,64.359,ground
176,12.0,42.0,38.0,0.0,121.3489,318.1635,64.5727,ground
177,12.0,27.0,39.0,0.0,121.4584,318.175,64.7293,ground
178,12.0,28.0,39.0,0.0,121.3116,318.1596,64.6054,ground
179,12.0,29.0,39.0,0.0,121.0357,318.1308,64.367,ground
180,12.0,30.0,39.0,0.0,120.5645,318.0815,63.9818,ground
181,12.0,31.0,39.0,0.0,119.8688,318.0087,63.4704,ground
182,12.0,32.0,39.0,0.0,119.0086,317.9187,62.8899,ground
183,12.0,33.0,39.0,0.0,117.9889,317.812,61.9925,ground
184,12.0,34.0,39.0,0.0,117.3859,317.7489,61.1892,ground
185,12.0,35.0,39.0,0.0,117.6483,317.7763,61.1708,ground
186,12.0,36.0,39.0,0.0,118.5976,317.8757,61.9499,ground
187,12.0,37.0,39.0,0.0,119.5527,317.9757,62.8099,ground
188,12.0,38.0,39.0,0.0,120.1506,318.0382,63.3498,ground
189,12.0,39.0,39.0,0.0,120.6632,318.0918,63.8656,ground
190,12.0,40.0,39.0,0.0,121.058,318.1331,64.2774,ground
191,12.0,41.0,39.0,0.0,121.3079,318.1593,64.5507,ground
192,12.0,42.0,39.0,0.0,121.4549,318.1746,64.7103,ground
193,12.0,27.0,40.0,0.0,121.5268,318.1821,64.8389,ground
194,12.0,28.0,40.0,0.0,121.4257,318.1716,64.7639,ground
195,12.0,29.0,40.0,0.0,121.228,318.1509,64.605,ground
196,12.0,30.0,40.0,0.0,120.9051,318.1171,64.3536,ground
197,12.0,31.0,40.0,0.0,120.4953,318.0743,64.0524,ground
198,12.0,32.0,40.0,0.0,120.0579,318.0285,63.7312,ground
199,12.0,33.0,40.0,0.0,119.5842,317.979,63.291,ground
200,12.0,34.0,40.0,0.0,119.2565,317.9447,62.8837,ground
201,12.0,35.0,40.0,0.0,119.3745,317.957,62.8764,ground
202,12.0,36.0,40.0,0.0,119.8723,318.0091,63.2754,ground
203,12.0,37.0,40.0,0.0,120.3628,318.0604,63.6947,ground
204,12.0,38.0,40.0,0.0,120.7077,318.0965,63.9903,ground
205,12.0,39.0,40.0,0.0,121.0192,318.1291,64.2885,ground
206,12.0,40.0,40.0,0.0,121.2803,318.1564,64.5503,ground
207,12.0,41.0,40.0,0.0,121.4454,318.1736,64.7284,ground
208,12.0,42.0,40.0,0.0,121.5301,318.1825,64.8258,ground
209,12.0,27.0,41.0,0.0,121.5887,318.1886,64.9309,ground
210,12.0,28.0,41.0,0.0,121.5091,318.1803,64.8776,ground
211,12.0,29.0,41.0,0.0,121.3535,318.164,64.7605,ground
212,12.0,30.0,41.0,0.0,121.1314,318.1408,64.5921,ground
213,12.0,31.0,41.0,0.0,120.8799,318.1145,64.4087,ground
214,12.0,32.0,41.0,0.0,120.6366,318.0891,64.2225,ground
215,12.0,33.0,41.0,0.0,120.3898,318.0632,63.9833,ground
216,12.0,34.0,41.0,0.0,120.2055,318.044,63.7603,ground
217,12.0,35.0,41.0,0.0,120.2647,318.0501,63.7574,ground
218,12.0,36.0,41.0,0.0,120.5447,318.0794,63.9777,ground
219,12.0,37.0,41.0,0.0,120.8222,318.1085,64.2042,ground
220,12.0,38.0,41.0,0.0,121.0335,318.1306,64.3737,ground
221,12.0,39.0,41.0,0.0,121.2306,318.1512,64.5526,ground
222,12.0,40.0,41.0,0.0,121.4098,318.1699,64.7257,ground
223,12.0,41.0,41.0,0.0,121.5364,318.1831,64.8538,ground
224,12.0,42.0,41.0,0.0,121.596,318.1894,64.9216,ground
225,12.0,27.0,42.0,0.0,121.615,318.1914,64.9815,ground
226,12.0,28.0,42.0,0.0,121.5403,318.1836,64.9336,ground
227,12.0,29.0,42.0,0.0,121.4091,318.1698,64.8398,ground
228,12.0,30.0,42.0,0.0,121.2472,318.1529,64.7243,ground
229,12.0,31.0,42.0,0.0,121.0534,318.1326,64.5806,ground
230,12.0,32.0,42.0,0.0,120.8745,318.1139,64.4422,ground
231,12.0,33.0,42.0,0.0,120.7023,318.0959,64.2729,ground
232,12.0,34.0,42.0,0.0,120.5694,318.082,64.1221,ground
233,12.0,35.0,42.0,0.0,120.6081,318.0861,64.1206,ground
234,12.0,36.0,42.0,0.0,120.8066,318.1068,64.2697,ground
235,12.0,37.0,42.0,0.0,121.0105,318.1282,64.4306,ground
236,12.0,38.0,42.0,0.0,121.1742,318.1453,64.5558,ground
237,12.0,39.0,42.0,0.0,121.3392,318.1625,64.694,ground
238,12.0,40.0,42.0,0.0,121.4637,318.1755,64.8129,ground
239,12.0,41.0,42.0,0.0,121.5695,318.1866,64.9147,ground
240,12.0,42.0,42.0,0.0,121.6224,318.1921,64.974,ground
257,12.0,33.0,37.0,1.0,43.6482,311.5693,71.7815,wall
261,12.0,33.0,37.0,2.0,45.0551,311.7652,74.6792,wall
265,12.0,33.0,37.0,3.0,46.0736,311.9064,77.3418,wall
269,12.0,33.0,37.0,4.0,47.0886,312.0253,79.9726,wall
257,12.0,33.0,37.0,1.0,43.704,311.5757,71.7649,wall
261,12.0,33.0,37.0,2.0,45.1071,311.7709,74.6699,wall
265,12.0,33.0,37.0,3.0,46.1224,311.9115,77.335,wall
269,12.0,33.0,37.0,4.0,47.1355,312.03,79.9671,wall
257,12.0,33.0,37.0,1.0,43.7153,311.5772,71.7482,wall
261,12.0,33.0,37.0,2.0,45.115,311.772,74.6605,wall
265,12.0,33.0,37.0,3.0,46.1279,311.9122,77.3282,wall
269,12.0,33.0,37.0,4.0,47.1397,312.0305,79.9616,wall
257,12.0,33.0,37.0,1.0,43.7191,311.5777,71.7315,wall
261,12.0,33.0,37.0,2.0,45.1172,311.7722,74.6512,wall
265,12.0,33.0,37.0,3.0,46.1294,311.9124,77.3214,wall
269,12.0,33.0,37.0,4.0,47.1409,312.0307,79.956,wall
289,12.0,33.0,32.0,1.0,35.68,310.1906,61.6545,wall
293,12.0,33.0,32.0,2.0,38.5412,310.5721,64.663,wall
297,12.0,33.0,32.0,3.0,40.0041,310.7663,67.4006,wall
301,12.0,33.0,32.0,4.0,41.2339,310.9025,70.0604,wall
289,12.0,33.0,32.0,1.0,36.5567,310.308,61.6374,wall
293,12.0,33.0,32.0,2.0,38.7848,310.6046,64.6534,wall
297,12.0,33.0,32.0,3.0,40.1169,310.7812,67.3936,wall
301,12.0,33.0,32.0,4.0,41.3102,310.9125,70.0547,wall
289,12.0,33.0,32.0,1.0,36.5714,310.3091,61.6203,wall
293,12.0,33.0,32.0,2.0,38.7918,310.6052,64.6437,wall
297,12.0,33.0,32.0,3.0,40.1214,310.7817,67.3865,wall
301,12.0,33.0,32.0,4.0,41.3136,310.9128,70.049,wall
289,12.0,33.0,32.0,1.0,36.5765,310.3097,61.6031,wall
293,12.0,33.0,32.0,2.0,38.7944,310.6056,64.6341,wall
297,12.0,33.0,32.0,3.0,40.1231,310.7819,67.3795,wall
301,12.0,33.0,32.0,4.0,41.315,310.913,70.0433,wall
273,12.0,37.0,33.0,1.0,47.9944,311.7876,59.3582,wall
277,12.0,37.0,33.0,2.0,50.2803,312.0893,63.8391,wall
281,12.0,37.0,33.0,3.0,51.6839,312.2732,67.1798,wall
285,12.0,37.0,33.0,4.0,52.9439,312.4053,70.094,wall
273,12.0,37.0,33.0,1.0,45.7145,311.5222,59.3435,wall
277,12.0,37.0,33.0,2.0,49.3201,312.0017,63.8302,wall
281,12.0,37.0,33.0,3.0,51.289,312.2621,67.173,wall
285,12.0,37.0,33.0,4.0,52.7942,312.4269,70.0883,wall
273,12.0,37.0,33.0,1.0,45.6335,311.5147,59.3289,wall
277,12.0,37.0,33.0,2.0,49.2842,311.9981,63.8213,wall
281,12.0,37.0,33.0,3.0,51.2742,312.2603,67.1663,wall
285,12.0,37.0,33.0,4.0,52.7899,312.426,70.0826,wall
273,12.0,37.0,33.0,1.0,45.633,311.5147,59.3142,wall
277,12.0,37.0,33.0,2.0,49.2853,311.9983,63.8124,wall
281,12.0,37.0,33.0,3.0,51.2758,312.2605,67.1595,wall
285,12.0,37.0,33.0,4.0,52.7916,312.4263,70.077,wall
305,12.0,32.0,33.0,1.0,52.6908,312.8752,99.0403,wall
309,12.0,32.0,33.0,2.0,56.0671,313.344,101.8858,wall
313,12.0,32.0,33.0,3.0,58.041,313.6168,104.526,wall
317,12.0,32.0,33.0,4.0,59.6113,313.8059,107.1445,wall
305,12.0,32.0,33.0,1.0,55.0149,313.1483,99.0235,wall
309,12.0,32.0,33.0,2.0,57.1612,313.4398,101.8764,wall
313,12.0,32.0,33.0,3.0,58.605,313.6358,104.5192,wall
317,12.0,32.0,33.0,4.0,59.9443,313.7916,107.139,wall
305,12.0,32.0,33.0,1.0,55.1277,313.1579,99.0067,wall
309,12.0,32.0,33.0,2.0,57.2104,313.4445,101.867,wall
313,12.0,32.0,33.0,3.0,58.6262,313.6383,104.5124,wall
317,12.0,32.0,33.0,4.0,59.9521,313.793,107.1335,wall
305,12.0,32.0,33.0,1.0,55.1354,313.1588,98.9899,wall
309,12.0,32.0,33.0,2.0,57.2136,313.4448,101.8575,wall
313,12.0,32.0,33.0,3.0,58.6278,313.6385,104.5056,wall
317,12.0,32.0,33.0,4.0,59.9531,313.7931,107.128,wall
258,12.0,34.0,37.0,1.0,131.8722,326.9839,56.7472,window
259,12.0,35.0,37.0,1.0,131.9931,327.0019,56.7455,window
260,12.0,36.0,37.0,1.0,132.6661,327.1007,56.8888,window
262,12.0,34.0,37.0,2.0,137.0772,327.7443,58.3631,window
263,12.0,35.0,37.0,2.0,137.1263,327.7517,58.3631,window
264,12.0,36.0,37.0,2.0,137.4352,327.7969,58.4321,window
266,12.0,34.0,37.0,3.0,141.4003,328.3716,59.8255,window
267,12.0,35.0,37.0,3.0,141.4264,328.3754,59.825,window
268,12.0,36.0,37.0,3.0,141.5277,328.3904,59.8452,window
270,12.0,34.0,37.0,4.0,145.5081,328.9191,61.2105,window
271,12.0,35.0,37.0,4.0,145.5248,328.9217,61.2111,window
272,12.0,36.0,37.0,4.0,145.6296,328.937,61.2398,window
258,12.0,34.0,37.0,1.0,132.1031,326.9844,56.7387,window
259,12.0,35.0,37.0,1.0,132.2336,327.0036,56.7377,window
260,12.0,36.0,37.0,1.0,132.9043,327.1015,56.8821,window
262,12.0,34.0,37.0,2.0,137.3043,327.7423,58.358,window
263,12.0,35.0,37.0,2.0,137.3567,327.7499,58.3582,window
264,12.0,36.0,37.0,2.0,137.6657,327.7948,58.4278,window
266,12.0,34.0,37.0,3.0,141.6292,328.3683,59.8219,window
267,12.0,35.0,37.0,3.0,141.6513,328.3714,59.8214,window
268,12.0,36.0,37.0,3.0,141.7571,328.3867,59.8418,window
270,12.0,34.0,37.0,4.0,145.7383,328.9137,61.2075,window
271,12.0,35.0,37.0,4.0,145.7559,328.9163,61.2082,window
272,12.0,36.0,37.0,4.0,145.8621,328.9315,61.2369,window
258,12.0,34.0,37.0,1.0,132.117,326.9866,56.7302,window
259,12.0,35.0,37.0,1.0,132.2485,327.0058,56.7299,window
260,12.0,36.0,37.0,1.0,132.9115,327.1026,56.8755,window
262,12.0,34.0,37.0,2.0,137.3113,327.7437,58.3529,window
263,12.0,35.0,37.0,2.0,137.3622,327.751,58.3534,window
264,12.0,36.0,37.0,2.0,137.6667,327.7952,58.4234,window
266,12.0,34.0,37.0,3.0,141.6331,328.3693,59.8182,window
267,12.0,35.0,37.0,3.0,141.653,328.3722,59.8178,window
268,12.0,36.0,37.0,3.0,141.7569,328.3871,59.8383,window
270,12.0,34.0,37.0,4.0,145.7398,328.9146,61.2045,window
271,12.0,35.0,37.0,4.0,145.7561,328.917,61.2052,window
272,12.0,36.0,37.0,4.0,145.861,328.932,61.2341,window
258,12.0,34.0,37.0,1.0,132.1208,326.9869,56.7216,window
259,12.0,35.0,37.0,1.0,132.2521,327.0061,56.7221,window
260,12.0,36.0,37.0,1.0,132.9141,327.1028,56.8688,window
262,12.0,34.0,37.0,2.0,137.3137,327.7439,58.3478,window
263,12.0,35.0,37.0,2.0,137.3643,327.7512,58.3485,window
264,12.0,36.0,37.0,2.0,137.6683,327.7954,58.419,window
266,12.0,34.0,37.0,3.0,141.6349,328.3695,59.8145,window
267,12.0,35.0,37.0,3.0,141.6546,328.3723,59.8142,window
268,12.0,36.0,37.0,3.0,141.7582,328.3873,59.8349,window
270,12.0,34.0,37.0,4.0,145.7412,328.9147,61.2015,window
271,12.0,35.0,37.0,4.0,145.7575,328.9171,61.2023,window
272,12.0,36.0,37.0,4.0,145.8622,328.9321,61.2312,window
290,12.0,34.0,32.0,1.0,126.9206,325.5473,32.0746,window
291,12.0,35.0,32.0,1.0,127.3768,325.6049,31.9808,window
292,12.0,36.0,32.0,1.0,129.5885,325.9015,32.125,window
294,12.0,34.0,32.0,2.0,135.5211,326.7741,34.1288,window
295,12.0,35.0,32.0,2.0,135.6279,326.7858,34.0882,window
296,12.0,36.0,32.0,2.0,136.1928,326.8626,34.1507,window
298,12.0,34.0,32.0,3.0,140.7154,327.5081,35.687,window
299,12.0,35.0,32.0,3.0,140.7579,327.513,35.6737,window
300,12.0,36.0,32.0,3.0,140.92,327.5352,35.6892,window
302,12.0,34.0,32.0,4.0,145.2484,328.0774,37.1004,window
303,12.0,35.0,32.0,4.0,145.272,328.0805,37.0966,window
304,12.0,36.0,32.0,4.0,145.3951,328.0976,37.1223,window
290,12.0,34.0,32.0,1.0,127.2632,325.5952,32.0661,window
291,12.0,35.0,32.0,1.0,127.26,325.5885,31.9732,window
292,12.0,36.0,32.0,1.0,128.2909,325.7204,32.1184,window
294,12.0,34.0,32.0,2.0,135.7368,326.8036,34.1237,window
295,12.0,35.0,32.0,2.0,135.6362,326.7864,34.0833,window
296,12.0,36.0,32.0,2.0,135.99,326.8338,34.1462,window
298,12.0,34.0,32.0,3.0,140.8593,327.5274,35.6832,window
